user_group_id,user_group_name,parent_id,istatus,created_by,created_on,updated_by,updated_on,having_stock,territory_type_id,user_group_caption,is_use_top,is_use_handset,is_use_credit_limit,is_self_service,allow_scan_in,allow_sell_in,allow_mobsell,allow_consignment,allow_sell_out,allow_to_sris,having_jc
1,System Admin,1,1,admin,2012/03/04 04:39:00.809696000,admin,2015/08/17 23:55:25.597452000,0,1,SA,0,0,0,,0,0,0,0,0,1,0
2,Regional Head,10,1,admin,2012/03/04 04:39:00.919447000,burhan,2018/10/08 15:03:20.987890000,0,2,RH,0,0,0,,0,0,0,0,0,1,1
3,Deputy RH,2,1,admin,2012/03/04 04:39:01.009588000,10003409,2020/01/28 17:10:22.134632000,1,2,DRH,0,1,0,,0,0,0,0,0,1,1
4,Cluster Coordinator,2,1,admin,2012/03/04 04:39:01.120395000,88001549,2013/05/13 03:35:05.858130000,0,3,CC,0,1,0,,,,,,,1,1
5,Cluster Admin,4,1,admin,2012/03/04 04:39:01.230288000,admin,2013/05/13 03:35:05.858130000,0,3,CA,0,1,0,,,,,,,1,0
6,Merchandiser,4,1,admin,2012/03/04 04:39:01.339240000,10003409,2015/10/26 15:18:53.088408000,0,3,MD,0,1,0,,0,0,0,0,0,1,1
7,Outbound Caller,4,1,admin,2012/03/04 04:39:01.439179000,admin,2013/05/13 03:35:05.858130000,0,0,OC,0,1,0,,,,,,,1,0
8,Smart Fren Ambassador,4,1,admin,2012/03/04 04:39:01.560149000,admin,2013/05/13 03:35:05.858130000,1,5,SFA,1,1,1,,1,1,,1,,1,1
9,Direct Sales,4,1,admin,2012/03/04 04:39:01.669108000,burhan,2018/08/29 14:26:48.404435000,1,6,DS,1,1,1,,1,1,1,0,0,1,1
10,Head Office,18,1,admin,2012/04/01 19:18:00.000000000,admin,2013/05/13 03:35:05.858130000,0,1,HO,0,0,0,,,,,,,1,0
11,N/A,10,1,,2012/04/23 16:05:29.696239000,,2013/05/13 03:35:05.858130000,0,0,Others,0,0,0,,,,,,,1,0
12,Trainer,10,1,,2012/05/16 10:20:16.274459000,,2013/05/13 03:35:05.858130000,0,1,,0,0,0,,,,,,,1,0
13,Sales Support Admin,4,1,,2012/05/20 21:45:26.070964000,,2013/05/13 03:35:05.858130000,0,1,,0,0,0,,,,,,,1,0
14,Direct Sales Team Leader,4,1,admin,2012/06/04 15:49:29.008457000,admin,2013/05/13 03:35:05.858130000,0,3,DSTL,0,1,0,1,1,1,1,,,1,1
15,Distribution Excellence Region,2,1,,2012/06/04 15:51:21.516763000,burhan,2018/07/27 16:25:34.754648000,0,2,DER,0,1,0,,0,0,0,0,0,1,1
16,Distribution Excellence Head Office,18,1,,2012/06/04 15:51:55.040688000,,2013/05/13 03:35:05.858130000,0,1,DEHO,0,0,0,,,,,,,1,0
17,Brand Activation,2,1,,2012/06/04 15:53:40.580622000,,2013/05/13 03:35:05.858130000,0,1,BA,0,0,0,,,,,,,1,0
18,Management,18,1,,2012/06/04 15:54:13.816782000,,2013/05/13 03:35:05.858130000,0,1,BoD,0,0,0,,,,,,,1,0
19,Cluster Management,18,1,,2012/06/04 15:55:22.265119000,,2013/05/13 03:35:05.858130000,0,1,CM,0,0,0,,,,,,,1,0
20,Group Head Outer,18,1,,2012/06/04 15:56:10.205001000,,2013/05/13 03:35:05.858130000,0,1,GH OUTER,0,0,0,,,,,,,1,0
21,Group Head JAWA,18,1,,2012/06/04 15:57:02.953886000,,2013/05/13 03:35:05.858130000,0,1,GH JAWA,0,0,0,,,,,,,1,0
22,Incentive,10,1,,2012/06/04 15:58:04.071033000,,2013/05/13 03:35:05.858130000,0,1,INC,0,0,0,,,,,,,1,0
23,Reporting,10,1,,2012/06/04 15:58:29.285220000,,2013/05/13 03:35:05.858130000,0,1,REP,0,0,0,,,,,,,1,0
24,Man Power Planning,10,1,,2012/06/04 15:59:13.750449000,,2013/05/13 03:35:05.858130000,0,1,MPP,0,0,0,,,,,,,1,0
25,Cluster Performance,10,1,,2012/06/04 15:59:44.464412000,,2013/05/13 03:35:05.858130000,0,1,CP,0,0,0,,,,,,,1,0
26,System Admin Smartfren,10,1,,2012/06/04 16:02:04.700246000,,2013/05/13 03:35:05.858130000,0,1,SYS ADM,0,0,0,,,,,,,1,0
27,Cluster Support,2,1,,2012/06/04 16:03:22.752374000,nutech,2017/08/28 16:16:18.671368000,0,2,CS,0,1,0,,0,0,0,0,0,1,0
28,Finance,10,1,,2012/06/04 16:04:26.752069000,,2013/05/13 03:35:05.858130000,0,1,FIN,0,0,0,,,,,,,1,0
29,Revenue Assurance,10,1,,2012/06/04 16:04:49.298894000,,2013/05/13 03:35:05.858130000,0,1,REVA,0,0,0,,,,,,,1,0
30,Business Control,10,1,,2012/06/04 16:05:10.296412000,,2013/05/13 03:35:05.858130000,0,1,BC,0,0,0,,,,,,,1,0
31,Smartfren Gadget Specialist,4,1,dev,2012/06/26 14:31:00.000000000,nutech,2017/02/06 14:03:57.855007000,0,6,SGS,1,1,1,,0,0,0,0,0,1,1
32,SMILE,4,1,10003409,2012/07/23 15:00:42.071796000,,2013/05/13 03:35:05.858130000,1,5,SM,0,0,1,1,1,1,,,,1,1
33,Man Power Planning Region,2,1,10003409,2012/07/26 14:18:07.170706000,,2013/05/13 03:35:05.858130000,0,2,MPPR,0,0,0,,,,,,,1,0
34,Supervisor Area,4,1,10003409,2012/12/03 15:12:52.615775000,10003409,2019/07/01 09:58:40.690528000,1,3,ASC,0,1,1,0,1,1,0,0,0,1,1
35,Comlog,10,1,10003409,2013/02/12 15:39:25.652381000,,2013/05/13 03:35:05.858130000,0,1,CLOG,0,0,0,0,,,,,,1,0
