id,parent_id,name,alias,published,created,created_by,ordering,default
1,50,Distributor,distributor,1,2012/02/09 22:27:54.000000000,Dody Haryadi,4,0
2,10,Pengguna,master/usermanagement,1,2012/02/09 22:28:41.000000000,Dody Haryadi,1,0
3,50,Agent,,1,,Dody Haryadi,1,
4,0,Pages,,0,,Dody Haryadi,2,
5,4,Management Halaman,master/pagemanagement,1,,Dody Haryadi,1,
6,4,New Page,master/pagemanagement/new,1,,Dody Haryadi,2,0
7,0,Teritori,,1,,Dody Haryadi,1,
8,7,Pohon Teritori,territory/tree,1,,Dody Haryadi,1,
9,7,Diagram Struktur Teritori,territory/chart,0,,Dody Haryadi,2,
11,10,Stok Distributor,master/distributorstock,1,,,,
12,0,Galleries,master/galleries,0,,,,
13,10,Grup Pengguna,master/groups,1,,,,
14,0,Perangkat Handset,handset,1,,,11,
15,10,Produk,master/items,1,,,,
16,10,Lookup*,master/lookup,1,,,,
17,50,Outlet/Toko,outlet,1,,,2,
31,30,Pengambilan Barang,,1,,,3,
21,0,Produk,,1,,,4,
22,0,Laporan,,0,,,,
397,0,Reward,,1,2017/03/01 14:47:48.000000000,andedi,,
435,68,Potensi Harian Pulsa,lookup_v1/potensiHarianPulsa,1,2017/07/25 00:02:51.309444000,bimo,34,
436,68,Potensi Harian SP,lookup_v1/potensiHarianSP,1,2017/07/25 00:02:51.309444000,bimo,35,
26,0,SIG,,1,2012/03/08 10:00:00.000000000,Rafi,7,
27,26,Peta Outlet,gis/outlet,1,2012/03/08 10:00:00.000000000,Rafi,0,
28,26,Lacak Sales,gis/tracking,1,2012/03/08 10:00:00.000000000,Rafi,2,
29,7,Perbatasan Teritori,gis/boundary,1,2012/03/09 11:46:23.000000000,Rafi,3,
30,0,Sales,,1,,Dody,3,
97,30,Penjualan (Sell In),,1,,,4,
32,31,Baru - Pengambilan,scan/newscan,1,,,1,
33,31,Data - Pengambilan Barang Hari Ini,scan,1,,,2,
38,30,Pengembalian,,1,,,7,
41,30,Sales Order,,1,,,8,
36,34,Track Sales,,0,,,3,
37,34,Cek In,,0,,,4,
285,30,JC Opening,jc/preferences,1,2015/08/03 20:57:25.208847000,admin,0,
39,38,Baru - Pengembalian ke Cluster,receipt/newreceipt,1,,,1,
40,38,Data Pengembalian ke Cluster,receipt,1,,,2,
42,30,Pengembalian (Outlet),,1,,,9,
44,41,Baru - Sales Order,sales_order,1,,,1,
45,44,View Sales Order,,1,,,2,
46,42,Nota Pengembalian Baru,returns,1,,,1,
47,42,Data Return Outstanding,returns/returnOutstanding,1,,,2,
48,43,Assignment,target/assignment,1,,,1,
49,43,KPI Map,target/kpi_map,1,,,1,
50,0,Partner,,1,,,2,
51,1,Distributor List,,0,,,1,
52,17,Baru - Outlet,outlet/add,1,,,1,
53,17,Data Outlet,outlet,1,,,2,
54,17,Peta Outlet,gis/outlet,0,,,3,
92,66,Akses Grup,grouprole,1,,,3,
57,3,Map,,0,,,3,
58,0,Referensi,,0,,,5,
23,0,Service,#,1,,,5,
60,50,Gallery,master/gallery,1,,,3,
61,0,Parameter,,0,,,8,
62,0,Berita,news,1,,,8,
63,61,Tracking Period,,1,,,2,
65,0,Report,,1,,,12,
66,0,Pengguna,,1,,,9,
67,66,User,,0,,,1,
70,6800,Managemen Group,,1,,,2,
71,68,Agent Status,lookup_v1/agentStatus,1,,,1,
72,68,Business Focus,lookup_v1/businessFocus,1,,,2,
73,68,Business Structure,lookup_v1/businessStructure,1,,,3,
74,6800,Partner,,1,,,4,
75,68,Customer Type,lookup_v1/customerType,1,,,5,
76,68,Education Type,lookup_v1/educationType,1,,,6,
77,68,Program,lookup_v1/program,1,,,7,
78,6800,Expansion List,,0,,,8,
