user_id;user_name
CCTRIAL1;CCTRIAL1
CCVacantAlfa;CCVacantAlfa
RHTRIAL1;RHTRIAL1
SMILEKM01;SMILEKM01
SML_CJ010A;CV. SINAR SURYA Cls CJ10
SML_CJ011A;CV. ABADI Cls CJ11
SML_CJ013A;CV. MULIA JAYA Cls CJ13
SML_CJ013B;Smile Mulia Jaya Purbalingga CJ13B
SML_CJ013C;SMILE GALERY MORO
SML_CJ013D;SMILE GALERI PH
SML_CJ013E;SMILE GALERI WANGON
SML_CJ014A;CV. MARVELINDO UTAMA Cls CJ14
SML_CJ014B;SMILE - CV. MARVELINDO UTAMA Cls CJ14
SML_CJ014C;SMILE GALERI KEBUMEN
SML_CJ018A;SMILE MARVELINDO PURWOKERTO
SML_CJ01A;PT. FASTRONIC MAKMUR SENTOSA Cls CJ1
SML_CJ01B;PT FASTRONIK MAKMUR SENTOSA B
SML_CJ02A;PT. FASTRONIC MAKMUR SENTOSA Cls CJ2
SML_CJ02B;SMILE-PT FASTRONIK CLS 2 CJ
SML_CJ04A;PT. SELLULAR GLOBAL NET Cls CJ4
SML_CJ04B;PT Selular Global Net  CJ04B
SML_CJ05A;PT. PARASTAR ECHORINDO Cls CJ5
SML_CJ05B;SMILE INDOCOMM
SML_CJ06A;PT. PARASTAR ECHORINDO Cls CJ6
SML_CJ07A;CV. SELANGIT CELLULAR Cls CJ7 A
SML_CJ07B;CV. SELANGIT CELLULAR Cls CJ7 B
SML_CJ08A;PT. TELEKOMUNIKA ANUGRAH MANDIRI Cls CJ8 A
SML_CJ08B;SMILE - PT. TELEKOMUNIKA CJ8 SLEMAN
SML_CJ08C;SMILE GALLERY TERBAN-PT.TAM  CJ08C
SML_CJ08D;SMILE GALLERY HARTONO MAL YOGYA
SML_CJ09E;SMILE GALLERY WATES - CJA30095
SML_EJ010B;SMILE - PT. Mapan Gemilang CLS EJ10
SML_EJ011A;CV. SEMERU TELECOM MALANG BOND
SML_EJ012A;CV. SEMERU TELECOM MALANG SULFAT
SML_EJ013A;CV. SEMERU TELECOM BLITAR
SML_EJ013B;CV. SEMERU TELECOM  Kediri
SML_EJ013C;SMILE CV AZZAHRA TELECOM KEDIRI
SML_EJ014A;CV. ANBA SOLID DWIPONGGO Cls EJ14
SML_EJ014B;SMILE PT GRAHA ANUGERAH PRATAMA
SML_EJ015A;CV. TUNJUNG BERSAUDARA Cls EJ15
SML_EJ015B;Smile Graha Anugerah Pratama
SML_EJ016A;PT. JAWARA CITRA CEMERLANG Cls EJ16
SML_EJ016B;GAP Mataram
SML_EJ016C;Smile - PT ANUGERAH PRATAMA CLS NEJ 16
SML_EJ01A;PT. PARASTAR ECHORINDO Cls EJ1
SML_EJ01B;Smile Gallery Bangkalan (EJH03864)
SML_EJ03A;PT. MAJU BERSAMA XTRA LUAS Cls EJ3
SML_EJ03B;SMILE - PT. FASTRONIC MAKMUR SENTOSA CLS NEJ 4
SML_EJ03C;PT. Maju Bersama Xtra Luas Cls EJ3 C
SML_EJ03D;Smile Gallery Bangkalan
SML_EJ05A;CV. AZZAHRAH TELECOM Cls EJ5
SML_EJ06A;CV. AZZAHRAH TELECOM Cls EJ6
SML_EJ07A;CV. AZZAHRAH TELECOM Cls EJ7
SML_EJ07B;CV. AZZAHRAH TELECOM CLS EJ7 (CITO)
SML_EJ08A;CV. TRETAN Cls EJ8
SML_EJ09A;CV. SEMERU TELECOM Cls EJ9
SML_EJ09B;SMILE INDOJAYA
SML_JB011A;PT. KARYA JAYA SUKSES PRIMA Cls JB11
SML_JB012A;PT. MAXINDO TELEMEDIA NUSANTARA Cls JB12
SML_JB012B;SMILE - PT. MAXINDO TELEMEDIA NUSANTARA Cls JB12 
SML_JB012C;Smile Galery PT. Trikarya Adhi Komunika 
SML_JB013A;PT. AXINDO INFOTAMA Cls JB13
SML_JB017A;CHANDRA CELL Cls JB17
SML_JB017C;SMILE CLUSTER 17
SML_JB018A;PT. MULTI PULSA PERKASA Cls JB18
SML_JB018B;PT. MULTI PULSA PERKASA Cls JB18 B
SML_JB018C;Smile CDMA Purwakarta
SML_JB019A;PT AKSES KOMUNIKASI INDONESIA Cls JB19
SML_JB020A;PT. AKSES KOMUNIKASI INDONESIA Cls JB20
SML_JB021A;PT. POINT PRATAMA MULTIMEDIA INDONESIA Cls JB21
SML_JB022A;PT. PARASTAR DISTRINDO CLUSTER 22
SML_JB023A;CV. TRETAN Cls JB23
SML_JB024A;PT. ERATEL PRIMA Cls JB24
SML_JB026A;PT. SELLULAR GLOBAL NET Cls JB26
SML_JB027A;PT. SATRIA MUDA ADI RAGAM TERPADU Cls JB27
SML_JB027B;SMILE - PT. SATRIA MUDA ADI RAGAM TERPADU Cls JB27
SML_JB027C;SMILE GALLERY SATRIA MUDA-3 
SML_JB027D;SMILE BALARAJA
SML_JB027E;Smile Baru KSA
SML_JB028A;CV. BANTEN SATU CELL Cls JB28
SML_JB028B;SMILE CV. BANTEN SATU CELL CL28B
SML_JB029A;CV ERACOMM Cls JB29
SML_JB029B;SMILE - CV ERACOMM Cls JB29
SML_JB02A;PT. KARYA SEJAHTERA ABADITAMA Cls JB2
SML_JB031A;SMILE PT PARASTAR DISTRINDO
SML_JB03A;PT. PARASTAR ECHORINDO Cls JB3
SML_JB04B;SMILE GALLERY PT TRIKARYA ADHI KOMUNIKA
SML_JB05A;PT. ANEKA CELLINDO MANDIRI Cls JB5
SML_JB05B;PT.ANEKA CELLINDO MANDIRI Cls JB5
SML_JB06A;PT. OASIS TELEMEDIA NUSANTARA Cls JB6
SML_JB06B;PT.OASIS TELEMEDIA NUSANTARA Cls JB6
SML_JB06C;PT.OASIS TELEMEDIA NUSANTARA Cls JB6 JBF22178
SML_JB07A;PT. OSCAR TELECOM DISTRIBUSI Cls JB7
SML_JB08B;Smile Galerry Kalibata
SML_JB09A;PT. ERATEL PRIMA Cls JB9
SML.JB09B;SMILE - PT. ERATEL PRIMA Cls JB9
SML_JB11B;Smile Galery Aneka Cellindo Mandiri
SML_JB15B;Smile PT Parastar
SML_JB22A;Smile Gallery BTM
SML_JB28A;PT.Aneka Cellindo Mandiri Banten
SML_JB30A;Smile Prima Sentral C30
SML_JB30B;Smile Gallery SKA
SML_NS04A;CV. Charly Photo  A
SML_NS04C;SMILE - CV. Charly Photo  C
SML_NS06C;Smile PT Flamez 72 Tanjung Pinang
SML_NS06D;Smile PT Flamez 72 Nagoya Hill Batam
SML_NS09A;SMILE - PT. BARELANG SEJAHTERA PRIMA Cls NS9
SML_NS10B;CV Nirwana Indo Network NS10B
SML_NS10C;Smile CV Nirwana Indo Network
SML_SK04A;Smile Gadget
SML_SK04B;SMILE KAYATA BONE
SML_SS01A;CV. NIAGA NUSANTARA Cls SS1
SML_SS02A;CV. UNION 2000 Cls SS2
SML_SS03A;CV. JITUU CELL Cls SS3
SML_SS03B;SMILE - CV. JITUU CELL Cls SS3
SML_SS04A;JAYA MURNI Cls SS4
SML_SS04B;CV. NIAGA NUSANTARA CLS SS4
SML_SS05A;CV. CELLULAR SHOP Cls SS5
SML_SS05B;PT. JAYA MANDIRI STRATEGIC
SML_SS05C;PT Arafah Quantum Gemilang
SML_SS06A;CV. CAHAYA BARU CELLULAR SS06
SML_SS06B;Smile CV Niaga Nusantara
SML_SS06C;Smile CV.Niaga Nusantara
SML_SS06D;Smile CV.Niaga Nusantara
SML_SUL01A;PT. TRINDO Cls SUL1
SML_SUL01B;SMILE PALOPO
SML_SUL01C;GALLERY SMILE 3G CELL
SML_SUL02A;PT. KEYLA Cls SUL2
SML_SUL02B;SMILE GALLERY SENGKANG
SML_SUL03A;PT. KONKA Cls SUL3
SML_SUL04A;Smile Kayata
SML_SUL05A;SMILE JASINDO
SML_SUL06;PT. BGSS
SML_SUL06B;PT SAHABAT SUMBER CAHAYA
SML_SUL07;SMILE Pontianak
SML_WJ01A;CV. BRILLIANT KOMUNIKA Cls WJ1
SML_WJ02A;PT. DEVINDO TECH CELLULAR Cls WJ2
SML_WJ04A;PT.DEVINDO TECH CELLULAR Cls WJ4
SML_WJ04B;SMILE - PT GRAHA ANUGERAH PRATAMA 
SML_WJ06B;Utama Jaya Cell WJ6 B
SML_WJ07A;CV. PRIMA PRESTASI Cls WJ7
SML_WJ08A;CV. KURNIA Cls WJ8
SML_WJ08B;PT. MEDIA SELULER INDONESIA CLS WJ8B
SML_WJ09A;PT. DEVINDO TECH CELLULAR
VacantASM17;VacantASM17
VACANTATTENDACECJ;VACANTATTENDACECJ
VACANTCC999;VACANTCC999
VacantCCACC;VacantCCACC
VacantCCAkses;VacantCCAkses
VACANTCCALFA;VACANTCCALFA
VacantCCArtajasa;VacantCCArtajasa
VacantCCAvotel;VacantCCAvotel
VacantCCAyopop;VacantCCAyopop
VacantCCBarito;VacantCCBarito
VacantCCBhinneka;VacantCCBhinneka
VacantCCBillFazz;VacantCCBillFazz
VacantCCBisstel;VacantCCBisstel
VACANTCCBL16;VACANTCCBL16
VacantCCBMU;VacantCCBMU
VacantCCCircleK;VacantCCCircleK
VACANTCCCJ12;VACANTCCCJ12
VacantCCCO;VacantCCCO
VacantCCCorporate;VacantCCCorporate
VacantCCCourts;VacantCCCourts
VacantCCDatacell;VacantCCDatacell
VacantCCDino;VacantCCDino
VACANTCCEASY;VACANTCCEASY
VACANTCCEJ17;VACANTCCEJ17
VACANTCCEJ18;VACANTCCEJ18
VACANTCCEJ19;VACANT CC EJ 19
VacantCCEratel;VacantCCEratel
VACANTCCESTORE;VACANTCCESTORE
VacantCCEuronet;VacantCCEuronet
VacantCCEvercoss;VacantCCEvercoss
VacantCCFinnet;VacantCCFinnet
VACANTCCFIXED;VACANTCCFIXED
VacantCCGal_Antapani;VacantCCGal_Antapani
VacantCCGal_Bojong_Soang;VacantCCGal_Bojong_Soang
VacantCCGal_Honey_Lady;VacantCCGal_Honey_Lady
VacantCCGal_Kudus;VacantCCGal_Kudus
VacantCCGal_Pekalongan;VacantCCGal_Pekalongan
VacantCCGal_Purwodadi;VacantCCGal_Purwodadi
VacantCCGal_Smg_A_Yani;VacantCCGal_Smg_A_Yani
VacantCCGal_Tegal;VacantCCGal_Tegal
VacantCCGal_Ungaran;VacantCCGal_Ungaran
VACANTCCGARDENA;VACANTCCGARDENA
VacantCCGarena;VacantCCGarena
VacantCCGDN;VacantCCGDN
VACANTCCGEM;VACANTCCGEM
VacantCCGirana;VacantCCGirana
VacantCCglobalIndo;PT. Tele Global Indo
VacantCCGramedia;VacantCCGramedia
VacantCCHisense;VacantCCHisense
VACANTCCIBOX;VACANTCCIBOX
VacantCCIndotama;VacantCCIndotama
VACANTCCINFINITE;VACANTCCINFINITE
VacantCCInfonet;VacantCCInfonet
VacantCCInspirasia;VacantCCInspirasia
VacantCCIpay;VacantCCIpay
VACANTCCJB12;VACANTCCJB12
VacantCCJDID;VacantCCJDID
VacantCCJesa;VacantCCJesa
VacantCCKarya;VacantCCKarya
VACANTCCKOPNUS;VACANTCCKOPNUS
VacantCCMatahari;VacantCCMatahari
VacantCCMcash;VacantCCMcash
VacantCCMidi;VacantCCMidi
VacantCCMitra;VacantCCMitra
VacantCCMitraDistribusi;VacantCCMitraDistribusi
VacantCCMMT;VacantCCMMT
VacantCCMNP;VacantCCMNP
VacantCCMSU;VacantCCMSU
VacantCCMultiCasaSMG;VacantCCMultiCasaSMG
VacantCCMyIcon;VacantCCMyIcon
VacantCCNarindo;VacantCCNarindo
VacantCCNarindoEco;VacantCCNarindoEco
VacantCCNiaga;VacantCCNiaga
VACANTCCNUBIA;VACANTCCNUBIA
VACANTCCOMEGA;VACANTCCOMEGA
VacantCCPasar;VacantCCPasar
VacantCCPazia;VacantCCPazia
VacantCCPersada;VacantCCPersada
VacantCCPoin;VacantCCPoin
VacantCCPonpes;VacantCCPonpes
VacantCCPostpay;VacantCCPostpay
VacantCCPPS;VacantCCPPS
VacantCCPPSGIDO;VacantCCPPSGIDO
VacantCCPRI;VacantCCPRI
VacantCCPutra;VacantCCPutra
VACANTCCROYAL;VACANTCCROYAL
VacantCCRTS;VacantCCRTS
VacantCCSAP;VacantCCSAP
VACANTCCSEM;VACANTCCSEM
VACANTCCSEPULSA;VACANTCCSEPULSA
VacantCCSevel;VacantCCSevel
VacantCCShopee;VacantCCShopee
VacantCCSimpatindo;VacantCCSimpatindo
VacantCCSMB;VacantCCSMB
VACANTCCSS;VACANTCCSAMSUNG
VacantCCSTD;VacantCCSTD
VACANTCCSTORY;VACANTCCSTORY
VacantCCTappMoney;VacantCCTappMoney
VacantCCTelesindo;VacantCCTelesindo
VacantCCTiphone;VacantCCTiphone
VACANTCCTOURIST;VACANTCCTOURIST
VacantCCTranglo;VacantCCTranglo
VACANTCCTRIAL;VACANTCCTRIAL
VacantCCTS;VacantCCTS
VacantCCUJL;VacantCCUJL
VacantCCUrban;VacantCCUrban
VacantCCVeritra;VacantCCVeritra
VacantCCXCOM;VacantCCXCOM
VacantCJ01;VacantCJ01
VacantCJ03;VacantCJ03
VacantCJ06;VacantCJ06
VacantCJ07;VacantCJ07
VacantCJ10;VacantCJ10
VacantCJ11;VacantCJ11
VacantCJ15;VacantCJ15
VacantCJ16;VacantCJ16
VacantCJ18;VacantCJ18
VacantEJ03;VacantEJ03
VacantEJ09;VacantEJ09
VacantEJ12;VacantEJ12
VacantEJ17;VacantEJ17
VACANTEXITE;VACANTEXITE
VacantGalAceh;VacantGalAceh
VacantGal_Ambarukmo;VacantGal_Ambarukmo
VacantGal_Ambasador;VacantGal_Ambasador
VacantGal_Banjarmasin;VacantGal_Banjarmasin
VacantGal_Batam;VacantGal_Batam
VacantGal_BeachwalkDPS;VacantGal_BeachwalkDPS
VacantGal_BEC;VacantGal_BEC
VacantGal_Bintaro;VacantGal_Bintaro
VacantGal_Bojonegoro;VacantGal_Bojonegoro
VacantGal_Botani;VacantGal_Botani
VacantGal_BSD;VacantGal_BSD
VacantGal_CDS_PlazaBII;VacantGal_CDS_PlazaBII
VacantGal_Cianjur;VacantGal_Cianjur
VacantGal_Cibubur;VacantGal_Cibubur
VacantGal_Cikarang;VacantGal_Cikarang
VacantGal_Cimahi;VacantGal_Cimahi
VacantGal_Ciputra;VacantGal_Ciputra
VacantGal_Cirebon;VacantGal_Cirebon
VacantGal_Fatmawati;VacantGal_Fatmawati
VacantGal_Garut;VacantGal_Garut
VacantGal_Gresik;VacantGal_Gresik
VacantGal_Indramayu;VacantGal_Indramayu
VacantGal_Jakabaring;VacantGal_Jakabaring
VacantGal_Jember;VacantGal_Jember
VACANTGALKARAWACI;VACANTGALKARAWACI
VacantGal_Karawang;VacantGal_Karawang
VacantGal_Kediri;VacantGal_Kediri
VacantGal_Kepanjen;VacantGal_Kepanjen
VACANTGALKOKAS;VACANTGALKOKAS
